transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,8,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,OMNY - Students,56,5
4/30/25 8:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,291",86
4/30/25 8:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,40,8
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,13,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,28,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,19,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,OMNY - Students,77,1
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,2,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,37,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,599,90
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,21,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,4,0
4/30/25 7:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,14,4
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,43,15
4/30/25 7:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,4,0
4/30/25 6:00,23 St-Baruch College (6),Manhattan,OMNY - Students,7,0
4/30/25 6:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,15,0
4/30/25 6:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,8,0
4/30/25 6:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,18,3
4/30/25 6:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,5,1
4/30/25 6:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,13,0
4/30/25 6:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,204,60
4/30/25 6:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,3,3
4/30/25 5:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,5,0
4/30/25 5:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,4,0
4/30/25 5:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,32,5
4/30/25 5:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,1,1
4/30/25 5:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,2,0
4/30/25 5:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,6,3
4/30/25 5:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,2,1
4/30/25 4:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,6,0
4/30/25 4:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,1,0
4/30/25 4:00,23 St-Baruch College (6),Manhattan,OMNY - Students,1,0
4/30/25 4:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,1,0
